Ref Name,Qty,Component,Value,Package,Manufacturer,MPN,RS Part Number,Other Part Number,Description
J4,1,2 pin interface,,USER,,,,,
J2,1,2 pin interface,,USER,,,,,
J6,1,2 pin interface,,bigHoles0-1LS,,,,,
J5,1,2 pin interface,,bigHoles0-1LS,,,,,
J1,1,2 pin interface,,USER,,,,,
J3,1,2 pin interface,,USER,,,,,
U7,1,74HC00,,DIL,,,,,2IPNAND
U6,1,74HC21,,DIL,,,,,Dual4ip+AND
U9,1,74HC21,,DIL,,,,,Dual4ip+AND
U4,1,74HC21,,DIL,,,,,Dual4ip+AND
U13,1,7805Replacement,,USER,,,,,
U3,1,ATTiny25,,DIP8,,,,,
C63,1,Capacitor0.2-MLCC,0.1uF,Cap01LS,,,,,
C28,1,Capacitor0.2-MLCC,0.1uF,Cap01LS,,,,,
C29,1,Capacitor0.2-MLCC,0.1uF,Cap01LS,,,,,
C33,1,Capacitor0.2-MLCC,0.1uF,Cap01LS,,,,,
C17,1,Capacitor0.2-MLCC,0.1uF,Cap01LS,,,,,
C68,1,Capacitor0.2-MLCC,0.1uF,Cap01LS,,,,,
C9,1,Capacitor0.2-MLCC,0.1uF,Cap01LS,,,,,
C25,1,Capacitor0.2-MLCC,0.1uF,Cap01LS,,,,,
C60,1,Capacitor0.2-MLCC,0.1uF,Cap01LS,,,,,
C38,1,Capacitor0.2-MLCC,0.1uF,Cap01LS,,,,,
C39,1,Capacitor0.2-MLCC,0.1uF,Cap01LS,,,,,
C51,1,Capacitor0.2-MLCC,0.1uF,Cap01LS,,,,,
C47,1,Capacitor0.2-MLCC,0.1uF,Cap01LS,,,,,
C66,1,Capacitor0.2-MLCC,0.1uF,Cap01LS,,,,,
C45,1,Capacitor0.2-MLCC,0.1uF,Cap01LS,,,,,
C67,1,Capacitor0.2-MLCC,0.1uF,Cap01LS,,,,,
C43,1,Capacitor0.2-MLCC,0.1uF,Cap01LS,,,,,
C8,1,Capacitor0.2-MLCC,0.1uF,Cap01LS,,,,,
C10,1,Capacitor0.2-MLCC,0.1uF,Cap01LS,,,,,
C46,1,Capacitor0.2-MLCC,0.1uF,Cap01LS,,,,,
C62,1,Capacitor0.2-MLCC,0.1uF,Cap01LS,,,,,
C64,1,Capacitor0.2-MLCC,0.01uF,Cap01LS,,,,,
C3,1,Capacitor0.2-MLCC,0.01uF,Cap01LS,,,,,
C72,1,Capacitor0.2-MLCC,0.01uF,Cap01LS,,,,,
C73,1,Capacitor0.2-MLCC,0.01uF,Cap01LS,,,,,
C54,1,Capacitor0.2-MLCC,1uF,Cap01LS,,,,,
C53,1,Capacitor0.2-MLCC,1uF,Cap01LS,,,,,
C52,1,Capacitor0.2-MLCC,1uF,Cap01LS,,,,,
C32,1,Capacitor0.2-MLCC,1uF,Cap01LS,,,,,
C31,1,Capacitor0.2-MLCC,1uF,Cap01LS,,,,,
C30,1,Capacitor0.2-MLCC,1uF,Cap01LS,,,,,
C44,1,Capacitor0.2-MLCC,1uF,Cap01LS,,,,,
C1,1,Capacitor0.2-MLCC,1uF,Cap01LS,,,,,
C4,1,Capacitor0.2-MLCC,1uF,Cap01LS,,,,,
C5,1,Capacitor0.2-MLCC,1uF,Cap01LS,,,,,
C12,1,Capacitor0.2-MLCC,1uF,Cap01LS,,,,,
C2,1,Capacitor0.2-MLCC,1uF,Cap01LS,,,,,
C27,1,Capacitor0.2-MLCC,4.7uF,Cap01LS,,,,,
C49,1,Capacitor0.2-MLCC,4.7uF,Cap01LS,,,,,
C37,1,Capacitor0.2-MLCC,4.7uF,Cap01LS,,,,,
C24,1,Capacitor0.2-MLCC,4.7uF,Cap01LS,,,,,
C41,1,Capacitor0.2-MLCC,4.7uF,Cap01LS,,,,,
C23,1,Capacitor0.2-MLCC,4.7uF,Cap01LS,,,,,
C34,1,Capacitor0.2-MLCC,4.7uF,Cap01LS,,,,,
C26,1,Capacitor0.2-MLCC,4.7uF,Cap01LS,,,,,
C42,1,Capacitor0.2-MLCC,4.7uF,Cap01LS,,,,,
C61,1,Capacitor0.2-MLCC,4.7uF,Cap01LS,,,,,
C40,1,Capacitor0.2-MLCC,4.7uF,Cap01LS,,,,,
C22,1,Capacitor0.2-MLCC,4.7uF,Cap01LS,,,,,
C19,1,Capacitor0.2-MLCC,4.7uF,Cap01LS,,,,,
C18,1,Capacitor0.2-MLCC,4.7uF,Cap01LS,,,,,
C20,1,Capacitor0.2-MLCC,4.7uF,Cap01LS,,,,,
C21,1,Capacitor0.2-MLCC,4.7uF,Cap01LS,,,,,
C7,1,Capacitor0.2-MLCC,4.7uF,Cap01LS,,,,,
C57,1,Capacitor0.2-MLCC,10uF,Cap01LS,,,,,
C56,1,Capacitor0.2-MLCC,10uF,Cap01LS,,,,,
C55,1,Capacitor0.2-MLCC,10uF,Cap01LS,,,,,
C35,1,Capacitor0.2-MLCC,10uF,Cap01LS,,,,,
C36,1,Capacitor0.2-MLCC,10uF,Cap01LS,,,,,
C11,1,Capacitor0.2-MLCC,10uF,Cap01LS,,,,,
C13,1,Capacitor0.2-MLCC,10uF,Cap01LS,,,,,
C70,1,Capacitor0.2-MLCC,20pF,Cap01LS,,,,,
C69,1,Capacitor0.2-MLCC,20pF,Cap01LS,,,,,
C6,1,Capacitor0.2-MLCC,100pF,Cap01LS,,,,,
C15,1,Capacitor0.2-MLCC,330pF,Cap01LS,,,,,
C65,1,CapacitorElectrolytic0.2Lead,270uF,USER,,,,,
C71,1,CapacitorElectrolytic0.2Lead,270uF,cap015LS,,,,,
C14,1,CapacitorElectrolytic0.15,,USER,,,,,
C58,1,CapacitorElectrolytic0.15,,USER,,,,,
C16,1,CapacitorElectrolytic0.15,,USER,,,,,
C48,1,CapacitorElectrolytic0.15,,USER,,,,,
C50,1,CapacitorElectrolytic0.15,,USER,,,,,
C59,1,CapacitorElectrolytic0.15,,USER,,,,,
XTAL1,1,CRYSTAL-8MHz,,USER,,,,,
VR1,1,CT6EP501,1000 Ohm,USER,,,,,
D2,1,DiodePaul,,USER,,,,,
D14,1,DiodePaul,,USER,,,,,
D10,1,DiodePaul,,USER,,,,,
D1,1,DiodePaul,,USER,,,,,
U10,1,dsPIC30F4011-TH,,DIL,,,,,
FB2,1,FerriteBead,,USER,,,,,
FB1,1,FerriteBead,,USER,,,,,
U1,1,GateDriveOptoWithReset,,SOIC16,,,,,
U16,1,HCPL-817,,DIL,,,,,
U8,1,HIN202CP,,DIL,,,,,
ISP,1,ISP-Interface,,USER,,,,,
U2,1,IXDN604MosfetDriver,,DIP8,,,,,
LED1,1,LED,LED 5MM RED,DSC,,,,,Light Em Di
IGBT3,1,LEMInterface,,writingFlipped,,,,,
IGBT1,1,LEMInterface,,writingFlipped,,,,,
IGBT2,1,LEMInterface,,writingFlipped,,,,,
TRANS1,1,Line Filter,,13x10mmHoles,,,,,
U11,1,LM393,,DIP-8-Oval,,,,,
U15,1,LM393,,DIP-8-Oval,,,,,
U12,1,LM393,,DIP-8-Oval,,,,,
U5,1,LM393,,DIP-8-Oval,,,,,
U14,1,LM4040DIZ-2.5,,TO92,,,,,
Q7,1,MOSFET n-ch,,TO-92,,,,,
Q5,1,MOSFET n-ch,,TO-92,,,,,
Q3,1,NPNTrans_D44VH10,,layingDown,,,,,
Q2,1,NPNTrans_D44VH10,,layingDown,,,,,
Q1,1,NPNTrans_D44VH10,,layingDown,,,,,
Q8,1,PNPTRANS_D45VH10,,layingDown,,,,,
Q6,1,PNPTRANS_D45VH10,,layingDown,,,,,
Q4,1,PNPTRANS_D45VH10,,layingDown,,,,,
relay2,1,Relay SPST 1FormA,,User,,,,,
relay1,1,Relay SPST 1FormA,,User,,,,,
R6,1,Resistor-0.25watt,,R0600,,,,,
R11,1,Resistor-0.25watt,,R0600,,,,,
R5,1,Resistor-0.25watt,,R0600,,,,,
R3,1,Resistor-0.25watt,,R0600,,,,,
R4,1,Resistor-0.25watt,,R0600,,,,,
R2,1,Resistor-0.25watt,,R0600,,,,,
R45,1,Resistor-0.25watt,1k,R0_4,,,,,
R32,1,Resistor-0.25watt,1k,R0_4,,,,,
R41,1,Resistor-0.25watt,1k,R0_4,,,,,
R44,1,Resistor-0.25watt,1k,R0_4,,,,,
R16,1,Resistor-0.25watt,1k,R0_4,,,,,
R42,1,Resistor-0.25watt,1k,R0_4,,,,,
R47,1,Resistor-0.25watt,1k,RVertical,,,,,
R15,1,Resistor-0.25watt,1.5k,R0_4,,,,,
R19,1,Resistor-0.25watt,2k,R0_4,,,,,
R29,1,Resistor-0.25watt,2k,R0_4,,,,,
R36,1,Resistor-0.25watt,2k,R0_4,,,,,
R37,1,Resistor-0.25watt,2k,R0_4,,,,,
R22,1,Resistor-0.25watt,2k,R0_4,,,,,
R30,1,Resistor-0.25watt,2k,R0_4,,,,,
R10,1,Resistor-0.25watt,2k,R0_4,,,,,
R24,1,Resistor-0.25watt,2k,R0_4,,,,,
R46,1,Resistor-0.25watt,2K,R0_4,,,,,
R43,1,Resistor-0.25watt,2k,R0_4,,,,,
R9,1,Resistor-0.25watt,2.7,R0800,,,,,
R23,1,Resistor-0.25watt,2.7k,R0_4,,,,,
R1,1,Resistor-0.25watt,3k,R0_4,,,,,
R27,1,Resistor-0.25watt,3.92k 0.1%,R0_4,,,,,
R28,1,Resistor-0.25watt,4.7k,R0_4,,,,,
R38,1,Resistor-0.25watt,4.7k,R0_4,,,,,
R35,1,Resistor-0.25watt,4.7k,R0_4,,,,,
R25,1,Resistor-0.25watt,4.7k,R0_4,,,,,
R39,1,Resistor-0.25watt,4.7k,R0_4,,,,,
R40,1,Resistor-0.25watt,4.7k,R0_4,,,,,
R48,1,Resistor-0.25watt,4.7k,RVertical,,,,,
R33,1,Resistor-0.25watt,4.7k 0.1%,R0_4,,,,,
R14,1,Resistor-0.25watt,10,R0_4,,,,,
R49,1,Resistor-0.25watt,10,R0_4,,,,,
R50,1,Resistor-0.25watt,10,R0_4,,,,,
R34,1,Resistor-0.25watt,10k,R0_4,,,,,
R21,1,Resistor-0.25watt,10k,R0_4,,,,,
R26,1,Resistor-0.25watt,10k,R0_4,,,,,
R17,1,Resistor-0.25watt,10k,R0_4,,,,,
R13,1,Resistor-0.25watt,10k,R0_4,,,,,
R31,1,Resistor-0.25watt,22k,R0_4,,,,,
R7,1,Resistor-0.25watt,47k,R0_4,,,,,
R12,1,Resistor-0.25watt,100,R0_4,,,,,
R8,1,Resistor-0.25watt,500,R0_4,,,,,
R20,1,Resistor-0.25watt,xxx,R0_4,,,,,
R18,1,Resistor-0.25watt,xxx,R0_4,,,,,
SERIAL,1,SerialInterface,,USER,,,,,
D4,1,STTH2R02,,diode-35,,,,,
D3,1,STTH2R02,,diode-35,,,,,
D13,1,STTH2R02,,diode-35,,,,,
D15,1,STTH2R02,,diode-35,,,,,
D9,1,STTH2R02,,D0-15,,,,,
D6,1,ZenerDiode,,Diode_small,,,,,
D11,1,ZenerDiode,,5w,,,,,
D8,1,ZenerDiode,,bidirectVert,,,,,
D7,1,ZenerDiode,,bidirectVert,,,,,
D5,1,ZenerDiode,,bidirectVert,,,,,
D12,1,ZenerDiode,,5w,,,,,
